live_show,fls_available,fls_id,datestring,fls_link,Title,Url,Length,Seconds,link
1,1,,,,"Fugazi playing Rend It""""",https://www.youtube.com/watch?v=O7zCCnD2qE8&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=89&pp=iAQB,00:03:53,233,
1,1,,,,"Fugazi playing Great Cop""""",https://www.youtube.com/watch?v=P1URTLWemSU&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=90&pp=iAQB,00:02:09,129,
1,1,,,,"Fugazi playing Blueprint""""",https://www.youtube.com/watch?v=IFgRoE5aQBY&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=91&pp=iAQB,00:05:03,303,
1,1,,,,"Fugazi playing Stacks""""",https://www.youtube.com/watch?v=dfX3xKMEhvo&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=92&pp=iAQB,00:03:44,224,
1,1,,,,"Fugazi plays Two Beats Off"" plus Ian reprimands guy with mohawk""",https://www.youtube.com/watch?v=1DX2V5pQHK0&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=93&pp=iAQB,00:05:29,329,
1,1,,,,"Fugazi playing Promises""""",https://www.youtube.com/watch?v=qtANX2vE8G4&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=94&pp=iAQB,00:07:43,463,
1,1,,,,"Fugazi playing Sweet and Low""""",https://www.youtube.com/watch?v=mnOv6wamquQ&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=95&pp=iAQB,00:04:01,241,
1,1,,,,Fugazi Music Hall New Orleans 10 April 1993,https://www.youtube.com/watch?v=o20oZ2q7ZOs&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=96,01:26:41,5201,
1,1,,,,Fugazi Live in Austin 1993,https://www.youtube.com/watch?v=SPjl8kvzR-U&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=97,01:09:50,4190,
1,1,,,,"Fugazi 04/17/1993 - Norman, Oklahoma @ Hollywood Theater",https://www.youtube.com/watch?v=A8Dm64WKmYs&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=98&pp=iAQB,01:27:53,5273,
1,1,,,,"01. Intro - Fugazi, Sproul Plaza, UC Berkeley, CA - 4.30.93",https://www.youtube.com/watch?v=zsIffF567UU&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=99&pp=iAQB,00:01:28,88,
1,1,,,,"02. Joe -1 - Fugazi, Sproul Plaza, UC Berkeley, CA - 4.30.93",https://www.youtube.com/watch?v=S7Jh44lCRgw&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=100&pp=iAQB,00:02:40,160,
1,1,,,,"03. Reclamation Fugazi, Sproul Plaza, UC Berkeley, CA - 4.30.93",https://www.youtube.com/watch?v=O-O2orMyZxc&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=101&pp=iAQB,00:03:18,198,
1,1,,,,"04. Walken's Syndrome - Fugazi, Sproul Plaza, UC Berkeley, CA - 4.30.93",https://www.youtube.com/watch?v=9KAU9q4iW68&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=102&pp=iAQB,00:02:34,154,
1,1,,,,"05. Facet Squared - Fugazi, Sproul Plaza, UC Berkeley, CA - 4.30.93",https://www.youtube.com/watch?v=s74XGZl5Krc&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=103&pp=iAQB,00:02:44,164,
1,1,,,,"06. Dear Justice Letter - Fugazi, Sproul Plaza, UC Berkeley, CA - 5.30.93",https://www.youtube.com/watch?v=bXLbh9Choo4&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=104&pp=iAQB,00:03:14,194,
1,1,,,,"07. Shut the Door - Fugazi, Sproul Plaza, UC Berkeley, CA - 5.30.93",https://www.youtube.com/watch?v=1Xh79en7rFo&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=105&pp=iAQB,00:08:19,499,
1,1,,,,"08. Blueprint - Fugazi, Sproul Plaza, UC Berkeley, CA - 5.30.93",https://www.youtube.com/watch?v=bpY-aV6crwE&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=106&pp=iAQB,00:03:45,225,
1,1,,,,Fugazi San Francisco 1993,https://www.youtube.com/watch?v=vPNWnvb1lTo&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=107&pp=iAQB,00:53:45,3225,
